titles,FullTitle
Instrucl Supprt Assnt,Instructional Support Assistant (SL1)
Instrcl Support Assoc,Instructional Support Associate (SL2)
Nursing Assnt Cert,Housing Assistant (SL1)
Lecturer-10 Month,Lecturer (10 month) (A0)
Sr ProgAnal,Senior Programmer-Analyst (SL4)
Post Doctoral Assoc,Postdoctoral Associate (SL1)
Clinical Instrctr 10M,Clinical Instructor (10 month) (A6)
Cleaner,Clinical Lecturer (A0)
Licensed Prac Nrs,Distinguished Professor (HS) (C3)
Clinical Assnt Pr 10M,Clinical Assistant Professor (10 month) (A5)
Senr Staff Assnt,Senior Staff Assistant (SL3)
Artists Model Pt,Associate Provost for Health Sciences (MP)
Univ Instruct Spec,University Instructional Specialist (SL5)
Dental Assnt,Dental Records Specialist (SL3)
Clinical Assoc Pr-Gft,Clinical Associate Professor (GFT) (G4)
Assoc Professor-10 Mo,Associate Professor (10 month) (A4)
Instruc Support Spec,Instructional Support Specialist (SL4)
T H Staff Assnt 2,T.H. Staff Assistant I (SL2)
Tech Assnt-Csl,Technical Assistant (CSL) (SL1)
Instrcl Support Tech,Instructional Support Technician (SL3)
Instl Studies Asst,Institutional Studies Assistant (SL2)
Senr Academic Advisor,Senior Academic Advisor (SL4)
Office Assnt 1 Keyboarding,University Professor (12 month) (B3)
Clinical Assnt Pr Hs,Clinical Associate Professor (HS) (C4)
T H Senr Staff Assnt,T.H. Senior Staff Assistant (SL3)
Nurse 2,Purchase Assistant (SL3)
Staff Associate,Staff Associate (SL4)
Th Cts Spch Pthlgy 2,T.H. Physical Therapist III (SL2)
Clinical Assoc Pr 10M,Clinical Associate Professor (10 month) (A4)
T H Staff Assoc,T.H. Staff Associate (SL4)
Clinical Assnt Pr-Gft,Clinical Assistant Professor (GFT) (G5)
Clinical Assoc Pr Hs,Clinical Associate Professor (HS) (C4)
Assoc Instrl Resrcs,Associate for Instructional Resources (SL5)
Staff Assistant,Staff Assistant (SL2)
Trades Generalist,T.H. Medical Records Senior Specialist (SL3)
T H Senr Staff Assoc,T.H. Senior Staff Associate (SL5)
Visiting Profssr 10Mo,Visiting Professor (HS) (C3)
Resch Assnt Prof-Hs,Research Assistant Professor (A5)
Assoc Faclts Pg Coord,Associate Facilities Program Coordinator (SL4)
Office Assnt 1 (Keyboarding),Senior Staff Associate (SL5)
Bus Driver,Bursar (SL4)
Instructor 10 Months,Instructor (10 month) (A6)
Professor (Hs),Professor (HS) (C3)
Professor 10 Months,Professor (10 month) (A3)
T H Staff Assnt 1,T.H. Staff Assistant II (SL1)
Hosp Attendant 1,Hospital Administrator (MP)
