Title,TITLE NAME,UnclassifiedSL,TITLE CODE,SG,JC,NU,FOC,LEVEL,STD. NO.,AGENCY CODE,NBR POS,DECNTRL. LVL.,DUTIES ONLY,SG_UNCLASS
Div I Dir Athletics/Athletic D,Diversity & Inclusion Specialist 1 ,1 ,1481100 ,18 ,0 ,06 ,2,J ,1481100F,08000 ,5 ,NA,N ,
Vice Pres Acadc Affr,Vice President for Academic Affairs (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Assnt V P Hosp Affrs,Assnt Dir Office Aging Programs ,Programs ,2875700 ,63 ,0 ,06 ,1,J ,NA,01370 ,4 ,NA,N ,
Vice Pres Dev,Vice President (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Div I Head Bsktball Coach (Rp),Div Dir Health Systems Management ,Management ,2883700 ,NS ,2 ,06 ,1,J ,NA,12000 ,1 ,NA,N ,
President,President (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Vice Pres Health Sci,Vice President for Health Sciences (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Professor 12 Months,Professor (12 month) (B3),(B3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Disting Prof-10 Mo,Distinguished Professor (10 month) (A3),(A3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Professor&Chrmn M Gft,Professor for EOC (10 month) (A3),(A3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dean (Engineering),Dean (Medicine) (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Professor (Gft),Professor (GFT) (G3),(G3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Exec Vice Pres,Executive Vice Pres ,Pres ,2834802 ,NS ,2 ,06 ,1,J ,NA,11100 ,1 ,NA,N ,
Div I Head Football Coach (Rp),Div Dir Health Systems Management ,Management ,2883700 ,NS ,2 ,06 ,1,J ,NA,12000 ,1 ,NA,N ,
Professor&Chrmn H Sci,Professor (HS) (C3),(C3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Visit Prof Hs,Visiting Professor (HS) (C3),(C3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Professor (Hs),Professor (HS) (C3),(C3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dean (Dentistry),Dean (Dentistry) (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
